SEF	0.2.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086330
Vbl	p
Stat	point
Units	Pa
Meta	PTC=T|PGC=T
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	3	18	12	17	0	100514	Orig=758.2mm|atb=24.8C
1886	3	18	22	17	0	99850	Orig=753.3mm|atb=25.6C
1886	3	19	12	17	0	100628	Orig=758.6mm|atb=21.5C
1886	3	19	22	17	0	100543	Orig=758.1mm|atb=22.9C
1886	3	20	12	17	0	101000	Orig=761mm|atb=18.6C
1886	3	20	22	17	0	100862	Orig=760.5mm|atb=22.5C
1886	3	21	12	17	0	101042	Orig=761.6mm|atb=20.6C
1886	3	21	22	17	0	101012	Orig=761.3mm|atb=20.1C
1886	3	22	12	17	0	101198	Orig=762.6mm|atb=19.7C
1886	3	22	22	17	0	101246	Orig=763.2mm|atb=21.1C
1886	3	23	12	17	0	101557	Orig=765.5mm|atb=20.4C
1886	3	23	22	17	0	101443	Orig=764.6mm|atb=20.8C
1886	3	24	12	17	0	101934	Orig=768mm|atb=18.3C
1886	3	24	22	17	0	101741	Orig=767mm|atb=21.2C
1886	3	25	12	17	0	102077	Orig=769.4mm|atb=20.6C
1886	3	25	22	17	0	101707	Orig=766.9mm|atb=22.3C
1886	3	26	12	17	0	101678	Orig=766.4mm|atb=20.3C
1886	3	26	22	17	0	101327	Orig=764mm|atb=22.8C
1886	3	27	12	17	0	101363	Orig=764mm|atb=20.5C
1886	3	27	22	17	0	101254	Orig=763.5mm|atb=22.8C
1886	3	28	12	17	0	101466	Orig=765mm|atb=22.1C
1886	3	28	22	17	0	101232	Orig=763.4mm|atb=22.9C
1886	3	29	12	17	0	101097	Orig=762.2mm|atb=22.3C
1886	3	29	22	17	0	100898	Orig=760.9mm|atb=23.4C
1886	3	30	12	17	0	100799	Orig=760.1mm|atb=23C
1886	3	30	22	17	0	101154	Orig=762.6mm|atb=22.1C
1886	3	31	12	17	0	101129	Orig=762.6mm|atb=23.1C
1886	3	31	22	17	0	100768	Orig=760mm|atb=24C
1886	4	1	12	17	0	101057	Orig=762.2mm|atb=24.5C
1886	4	1	22	17	0	100858	Orig=761mm|atb=26.3C
1886	4	2	12	17	0	101084	Orig=762.3mm|atb=23.4C
1886	4	2	22	17	0	100747	Orig=760.2mm|atb=26.9C
1886	4	3	12	17	0	100815	Orig=760.2mm|atb=23.2C
1886	4	3	22	17	0	100567	Orig=758.4mm|atb=23C
1886	4	4	12	17	0	100838	Orig=760.2mm|atb=21.6C
1886	4	4	22	17	0	100996	Orig=761.4mm|atb=21.3C
1886	4	5	12	17	0	101555	Orig=765mm|atb=17.3C
1886	4	5	22	17	0	101092	Orig=761.8mm|atb=19C
1886	4	6	12	17	0	100949	Orig=760.5mm|atb=18.1C
1886	4	6	22	17	0	100599	Orig=758.3mm|atb=20.9C
1886	4	7	12	17	0	100514	Orig=757.5mm|atb=20.1C
1886	4	7	22	17	0	99915	Orig=753.4mm|atb=22.4C
1886	4	8	12	17	0	100409	Orig=757.2mm|atb=23.3C
1886	4	8	22	17	0	100239	Orig=755.9mm|atb=22.8C
1886	4	9	12	17	0	100424	Orig=757mm|atb=20.7C
1886	4	9	22	17	0	100424	Orig=757mm|atb=21.4C
1886	4	10	12	17	0	100543	Orig=757.8mm|atb=20C
1886	4	10	22	17	0	100626	Orig=758.4mm|atb=19.8C
1886	4	11	12	17	0	102159	Orig=769.4mm|atb=16.2C
1886	4	11	22	17	0	102081	Orig=768.9mm|atb=16.5C
1886	4	12	12	17	0	102296	Orig=770.1mm|atb=14.2C
1886	4	12	22	17	0	102126	Orig=769mm|atb=14.8C
1886	4	13	12	17	0	101003	Orig=760.5mm|atb=15.2C
1886	4	13	22	17	0	101828	Orig=766.9mm|atb=15.8C
1886	4	14	12	17	0	101607	Orig=765.2mm|atb=16.3C
1886	4	14	22	17	0	101194	Orig=762.4mm|atb=17.8C
1886	4	15	12	17	0	101091	Orig=761.7mm|atb=18.7C
1886	4	15	22	17	0	100725	Orig=759mm|atb=19.1C
1886	4	16	12	17	0	100825	Orig=759.5mm|atb=16.9C
1886	4	16	22	17	0	101150	Orig=762.3mm|atb=19.8C
1886	4	17	12	17	0	101276	Orig=763mm|atb=18.4C
1886	4	17	22	17	0	100839	Orig=760mm|atb=20.1C
1886	4	18	12	17	0	101120	Orig=762.2mm|atb=20.7C
1886	4	18	22	17	0	100771	Orig=759.8mm|atb=22C
1886	4	19	12	17	0	101201	Orig=761.4mm|atb=10.6C
1886	4	19	22	17	0	100780	Orig=759.8mm|atb=21.9C
1886	4	20	12	17	0	101111	Orig=762.3mm|atb=21.9C
1886	4	20	22	17	0	101145	Orig=762.5mm|atb=21.5C
1886	4	21	12	17	0	101688	Orig=766mm|atb=17.3C
1886	4	21	22	17	0	101575	Orig=765.1mm|atb=16.9C
1886	4	22	12	17	0	101110	Orig=761.5mm|atb=16.2C
1886	4	22	22	17	0	100933	Orig=760.2mm|atb=16.8C
1886	4	23	12	17	0	100942	Orig=760.3mm|atb=16.7C
1886	4	23	22	17	0	100766	Orig=759mm|atb=16.9C
1886	4	24	12	17	0	101598	Orig=765.2mm|atb=16.4C
1886	4	24	22	17	0	101775	Orig=766.5mm|atb=16.5C
1886	4	25	12	17	0	101902	Orig=767.6mm|atb=17.2C
1886	4	25	22	17	0	101568	Orig=765mm|atb=16.6C
1886	4	26	12	17	0	101612	Orig=765.2mm|atb=16C
1886	4	26	22	17	0	101451	Orig=764.1mm|atb=16.8C
1886	4	27	12	17	0	101701	Orig=766mm|atb=16.6C
1886	4	27	22	17	0	101564	Orig=765.1mm|atb=17.5C
1886	4	28	12	17	0	101644	Orig=765.5mm|atb=16.4C
1886	4	28	22	17	0	101549	Orig=765mm|atb=17.6C
1886	4	29	12	17	0	101853	Orig=767.1mm|atb=16.6C
