SEF	0.2.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086330
Vbl	rr
Stat	sum
Units	mm
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	3	18	12	17	p1day	0	Orig=0in
1886	3	18	22	17	p1day	0	Orig=0in
1886	3	20	12	17	p1day	0	Orig=0in
1886	3	20	22	17	p1day	0	Orig=0in
1886	3	22	12	17	p1day	0	Orig=0in
1886	3	23	22	17	p1day	0	Orig=0in
1886	3	24	12	17	p1day	0	Orig=0in
1886	3	24	22	17	p1day	0	Orig=0in
1886	3	25	12	17	p1day	0	Orig=0in
1886	3	25	22	17	p1day	0	Orig=0in
1886	3	26	12	17	p1day	0	Orig=0in
1886	3	26	22	17	p1day	0	Orig=0in
1886	3	27	12	17	p1day	0	Orig=0in
1886	3	27	22	17	p1day	0	Orig=0in
1886	3	28	12	17	p1day	0	Orig=0in
1886	3	28	22	17	p1day	203.2	Orig=8in
1886	3	29	12	17	p1day	0	Orig=0in
1886	3	29	22	17	p1day	0	Orig=0in
1886	3	30	12	17	p1day	0	Orig=0in
1886	3	30	22	17	p1day	0	Orig=0in
1886	3	31	12	17	p1day	0	Orig=0in
1886	3	31	22	17	p1day	0	Orig=0in
1886	4	1	12	17	p1day	0	Orig=0in
1886	4	1	22	17	p1day	0	Orig=0in
1886	4	2	12	17	p1day	0	Orig=0in
1886	4	2	22	17	p1day	0	Orig=0in
1886	4	4	22	17	p1day	0	Orig=0in
1886	4	5	12	17	p1day	0	Orig=0in
1886	4	5	22	17	p1day	0	Orig=0in
1886	4	6	12	17	p1day	0	Orig=0in
1886	4	6	22	17	p1day	0	Orig=0in
1886	4	7	12	17	p1day	0	Orig=0in
1886	4	7	22	17	p1day	0	Orig=0in
1886	4	8	12	17	p1day	0	Orig=0in
1886	4	8	22	17	p1day	0	Orig=0in
1886	4	9	12	17	p1day	0	Orig=0in
1886	4	10	12	17	p1day	0	Orig=0in
1886	4	10	22	17	p1day	0	Orig=0in
1886	4	11	12	17	p1day	0	Orig=0in
1886	4	11	22	17	p1day	0	Orig=0in
1886	4	12	12	17	p1day	0	Orig=0in
1886	4	12	22	17	p1day	0	Orig=0in
