SEF	0.2.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086330
Vbl	ta
Stat	point
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	3	18	12	17	0	24.3	
1886	3	18	22	17	0	25.7	
1886	3	19	12	17	0	21.9	
1886	3	19	22	17	0	22.3	
1886	3	20	12	17	0	18.8	
1886	3	20	22	17	0	22.1	
1886	3	21	12	17	0	20.5	
1886	3	21	22	17	0	20.4	
1886	3	22	12	17	0	19.6	
1886	3	22	22	17	0	21	
1886	3	23	12	17	0	20.1	
1886	3	23	22	17	0	20.5	
1886	3	24	12	17	0	18.3	
1886	3	24	22	17	0	21.3	
1886	3	25	12	17	0	20.5	
1886	3	25	22	17	0	21.8	
1886	3	26	12	17	0	20.5	
1886	3	26	22	17	0	22.4	
1886	3	27	12	17	0	20.6	
1886	3	27	22	17	0	22.8	
1886	3	28	12	17	0	22	
1886	3	28	22	17	0	22.7	
1886	3	29	12	17	0	22.5	
1886	3	29	22	17	0	23	
1886	3	30	12	17	0	23	
1886	3	30	22	17	0	22	
1886	3	31	12	17	0	22.8	
1886	3	31	22	17	0	23.9	
1886	4	1	12	17	0	24.3	
1886	4	1	22	17	0	25.8	
1886	4	2	12	17	0	25.4	
1886	4	2	22	17	0	26.2	
1886	4	3	12	17	0	23.4	
1886	4	3	22	17	0	22.8	
1886	4	4	12	17	0	21.6	
1886	4	4	22	17	0	20.9	
1886	4	5	12	17	0	17.6	
1886	4	5	22	17	0	18.9	
1886	4	6	12	17	0	18.1	
1886	4	6	22	17	0	20.7	
1886	4	7	12	17	0	20.1	
1886	4	7	22	17	0	22.3	
1886	4	8	12	17	0	22.9	
1886	4	8	22	17	0	22.4	
1886	4	9	12	17	0	20.6	
1886	4	9	22	17	0	21	
1886	4	10	12	17	0	19.7	
1886	4	10	22	17	0	19.6	
1886	4	11	12	17	0	16	
1886	4	11	22	17	0	16.4	
1886	4	12	12	17	0	14.2	
1886	4	12	22	17	0	14.8	
1886	4	13	12	17	0	15	
1886	4	13	22	17	0	15.6	
1886	4	14	12	17	0	16	
1886	4	14	22	17	0	17.5	
1886	4	15	12	17	0	18.5	
1886	4	15	22	17	0	19.1	
1886	4	16	12	17	0	17	
1886	4	16	22	17	0	19.6	
1886	4	17	12	17	0	18.3	
1886	4	17	22	17	0	20.1	
1886	4	18	12	17	0	20.7	
1886	4	18	22	17	0	21.9	
1886	4	19	12	17	0	20.6	
1886	4	19	22	17	0	22.4	
1886	4	20	12	17	0	22	
1886	4	20	22	17	0	21.3	
1886	4	21	12	17	0	17.2	
1886	4	21	22	17	0	16.9	
1886	4	22	12	17	0	16.2	
1886	4	22	22	17	0	16.6	
1886	4	23	12	17	0	16.5	
1886	4	23	22	17	0	16.8	
1886	4	24	12	17	0	16.2	
1886	4	24	22	17	0	16.8	
1886	4	25	12	17	0	17.4	
1886	4	25	22	17	0	16.6	
1886	4	26	12	17	0	15.8	
1886	4	26	22	17	0	16.8	
1886	4	27	12	17	0	16.6	
1886	4	27	22	17	0	17.3	
1886	4	28	12	17	0	16.4	
1886	4	28	22	17	0	17.5	
1886	4	29	12	17	0	16.6	
1886	4	29	22	17	0	16.2	
1886	4	30	12	17	0	14.8	
1886	4	30	22	17	0	15.3	
1886	5	1	12	17	0	16.8	
1886	5	1	22	17	0	17.2	
1886	5	2	12	17	0	17.4	
1886	5	2	22	17	0	16	
1886	5	3	12	17	0	14.2	
1886	5	3	22	17	0	15.8	
1886	5	4	12	17	0	14.1	
1886	5	4	22	17	0	14.3	
1886	5	5	12	17	0	13.9	
1886	5	5	22	17	0	16.2	
1886	5	6	12	17	0	15.7	
1886	5	6	22	17	0	18	
1886	5	7	12	17	0	11.2	
1886	5	7	22	17	0	11.6	
1886	5	8	12	17	0	10.6	
1886	5	8	22	17	0	11.7	
1886	5	9	12	17	0	14.9	
1886	5	9	22	17	0	16.3	
1886	5	10	12	17	0	9.9	
1886	5	10	22	17	0	13	
1886	5	11	12	17	0	9.2	
1886	5	11	22	17	0	9.9	
1886	5	12	12	17	0	9.2	
1886	5	12	22	17	0	11.3	
1886	5	13	12	17	0	7.8	
1886	5	13	22	17	0	12.4	
1886	5	14	12	17	0	10	
1886	5	14	22	17	0	14.8	
1886	5	15	12	17	0	10.7	
1886	5	15	22	17	0	13.6	
1886	5	16	12	17	0	10.9	
1886	5	16	22	17	0	11.3	
1886	5	17	12	17	0	9.4	
1886	5	17	22	17	0	12.5	
1886	5	18	12	17	0	15.8	
1886	5	18	22	17	0	15.4	
1886	5	19	12	17	0	15.3	
1886	5	19	22	17	0	16.7	
1886	5	20	12	17	0	15.3	
1886	5	20	22	17	0	16.6	
1886	5	21	12	17	0	15.5	
1886	5	21	22	17	0	17.7	
1886	5	22	12	17	0	14.3	
1886	5	22	22	17	0	15	
1886	5	23	12	17	0	13.8	
1886	5	23	22	17	0	5.2	
1886	5	24	12	17	0	1.7	
1886	5	24	22	17	0	12.5	
1886	5	25	12	17	0	11.2	
1886	5	25	22	17	0	15.5	
1886	5	26	12	17	0	13.9	
1886	5	26	22	17	0	14.8	
1886	5	27	12	17	0	15	
1886	5	27	22	17	0	20.6	
1886	5	28	12	17	0	17.8	
1886	5	28	22	17	0	21.7	
1886	5	29	12	17	0	17.2	
1886	5	29	22	17	0	20.8	
1886	5	30	12	17	0	18.5	
1886	5	30	22	17	0	18.8	
1886	5	31	12	17	0	16.8	
1886	5	31	22	17	0	17.4	
1886	6	1	12	17	0	10.3	
1886	6	1	22	17	0	11.9	
1886	6	2	12	17	0	7.3	
1886	6	2	22	17	0	10.7	
1886	6	3	12	17	0	4.2	
1886	6	3	22	17	0	10.5	
1886	6	4	12	17	0	8.8	
1886	6	4	22	17	0	11	
1886	6	5	12	17	0	8.9	
1886	6	5	22	17	0	13.1	
1886	6	6	12	17	0	10.9	
1886	6	6	22	17	0	11.7	
1886	6	7	12	17	0	8.5	
1886	6	7	22	17	0	10.7	
1886	6	8	12	17	0	10.3	
1886	6	8	22	17	0	10.5	
1886	6	9	12	17	0	9	
1886	6	9	22	17	0	10.3	
1886	6	10	12	17	0	8	
1886	6	10	22	17	0	10	
1886	6	11	12	17	0	7.4	
1886	6	11	22	17	0	10.4	
1886	6	12	12	17	0	8.8	
1886	6	12	22	17	0	10.6	
1886	6	13	12	17	0	9.9	
1886	6	13	22	17	0	12.2	
1886	6	14	12	17	0	9.7	
1886	6	14	22	17	0	8.7	
1886	6	15	12	17	0	9.7	
1886	6	15	22	17	0	11.9	
1886	6	16	12	17	0	10.9	
1886	6	16	22	17	0	13.7	
1886	6	17	12	17	0	8	
1886	6	17	22	17	0	10.5	
1886	6	18	12	17	0	8	
1886	6	18	22	17	0	7.3	
1886	6	19	12	17	0	3.8	
1886	6	19	22	17	0	10.2	
1886	6	20	12	17	0	6.5	
1886	6	20	22	17	0	8.6	
1886	6	21	12	17	0	0.8	
1886	6	21	22	17	0	7.8	
1886	6	22	12	17	0	1.8	
1886	6	22	22	17	0	9.8	
1886	6	23	12	17	0	4.2	
1886	6	23	22	17	0	9.4	
