aaod	aerosol_absorption_optical_depth
acb	aerosol_column_burden
adc	aerosol_dust_concentration
aer	aerosol_effective_radius
aec	aerosol_extinction_coefficient
ammr	aerosol_mass_mixing_ratio
aod	aerosol_optical_depth
asmf	aerosol_species_mole_fraction
astcb	aerosol_species_total_column_burden
at	aerosol_type
ava	aerosol_volcanic_ash
avat	total_column_aerosol_volcanic_ash 
ac	air_conductivity 
bsa	blue_ice_and_snow_albedo
bir	blue_ice_bidirectional_reflectance
cga	clean_glacier_ice_albedo
dga	dirty_glacier_ice_albedo
esa	earth_surface_albedo
sbr	snow_bidirectional_reflectance
hb	cloud_base_height
h	cloud_base_lowest_height
n	cloud_cover
c	cloud_genus
hs	cloud_genus_base_height
ch	high_cloud_type
cl	low_cloud_type
nh	lowest_cloud_amout
cm	middle_cloud_type
eee	evaporation
ev	evaporation
pev	potential_evapotranspiration
rev	real_evapotranspiration
ah	absolute_humidity
dep_dew	dew_point_depression
td	dew_point_temperature
t_dew	dew_point_temperature
ibt	ice_bulb_temperature
rh	relative_humidity
q	specific_humidity
e	water_vapour_pressure
tb	wet_bulb_temperature
t_wet	wet_bulb_temperature
ddd	ice_thickness
rr	accumulated_precipitation
fs	fresh_snow
ht	hydrometeor_type
rrls	precipitation  
rril	precipitation_instensity_liquid
rris	precipitation_intensity_solid
rrt	precipitation_type
nr	rainy_days
sc	snow_cover
sd	snow_depth
sst	snow_status
sw	snow_water_equivalent
atb	adjunct_temperature_barometer
p	air_pressure
mslp	air_pressure_at_sea_level
ppp	pressure_tendency
a	pressure_tendency_characteristic
dr	diffuse_radiation
dlwie	downward_longwave_irradiance_at_earth_surface
dswie	downward_shortwave_irradiance_at_earth_surface
dswit	downward_shortwave_irradiance_at_toa
eswr	earth_surface_shortwave_bidirectional_reflectance
fapar	fraction_of_absorbed_par 
gr	global_radiation
lwe	longwave_earth_surface_emissivity
lr	longwave_radiation
mor	meteorological_optical_range
par	photosynthetically_active_radiation
swcr	shortwave_cloud_reflectance
sr	shortwave_radiation
sgf	solar_gamma_ray_flux
suf	solar_UV_flux
svf	solar_VIS_flux
sxf	solar_X_ray_flux
ss	sunshine_duration 
ulwie	upward_longwave_irradiance_at_Earth_surface
ulwit	upward_longwave_irradiance_at_TOA
uswit	upward_shortwave_irradiance_at_TOA
usrt	upward_spectral_radiance_at_TOA
sal	salinity
ta	air_temperature
t_air	air_temperature
Tx	daily_maximum_air_temperature
Txs	daily_maximum_air_temperature_with_direct_sun_exposure
TGs	daily_maximum_grass_temperature
Tn	daily_minimum_air_temperature
Tns	daily_minimum_air_temperature_with_direct_sun_exposure
TGn	daily_minimum_grass_temperature
days_frost	days_with ground_frost
t_snow	snow_temperature
Ts	soil_temperature
t_water	water_temperature
vv	horizontal_visibility in air
ld	lightning_detection
ls	lightning_duration
lhd	lightning_horizontal_distance
w1	past_weather_1
w2	past_weather_2
ww	present_weather
tld	Total lightning density
u	eastward_wind_speed
v	northward_wind_speed
dd	wind_from_direction
w	wind_speed
fx	wind_speed_of_gust
fm	wind_speed_max
turb	turbulence
pwc	Precipitable_water_column
TropH	Tropopause_height
TropT	Tropopause_temperature
TropP	Tropopause_pressure
TropPT	Tropopause_potential temperature
FrostT	Frost_point_temperature
gph	Geopotential_height
gdm	Geopotential_height_decameters
temp_vertgrad	Vertical_gradient_ of_temperature
ptemp_vertgrad	Vertical_gradient_of_potentia_temperature
ept	Equivalent_potential_temperature
